File Layout Stasiun Rev. 2.0
Properti : D:\CTC-YK-CLIENT-WALLDISPLAY-2\Layout\DISPLAY2.csv
No,Nama Objek,Indek,Grup,Kiri,Atas,Tinggi,Lebar,Front/Back,Tips,Tipe,No Stasiun,Buka Layout,Alokasi,Nama Variabel
1,Nama Peralatan,1,0,3219,316,14,38,0,,1,0,,0,Wesel,23A,0,18#
2,Label,1,0,4631,939,24,38,0,,1,0,,0,,,,,,5,255,65280,255,0,,,,,0,16777215,0,0,Arial,18,-1,0,0,0,0,0,0,0,0,54#
3,Kotak/Track,1,0,4628,936,30,44,0,PL-52-TE-DO,1,0,,0,PL-52-TE-DO,PL-52-RE-DO,,,,255,65535,65280,0,0,13619151,0,10,2,6496,6497,0,0,0,0,35#
4,Kotak/Track,2,0,6552,735,8,24,0,SK-W51B-RWTE-DO,1,0,,0,SK-W51B-RWTE-DO,SK-W51B-RWE-DO,,,,255,65535,13619151,0,-1,65280,0,10,2,5081,5080,0,0,0,0,35#
5,Kotak/Track,3,0,6543,735,8,18,0,SK-W51B-RWTE-DO,3,0,,0,SK-W51B-RWTE-DO,SK-W51B-RWE-DO,,,,255,65535,13619151,0,-1,65280,0,11,2,5081,5080,0,0,0,0,35#
6,Nama Peralatan,2,0,6373,605,17,42,0,,1,0,,0,Track,51T,0,18#
7,Kotak/Track,4,0,6304,595,8,11,0,SK-51-TE-DO,1,0,,2,SK-51-TE-DO,SK-51-RE-DO,,,,255,65535,14737632,0,0,13619151,8421504,10,2,5212,5213,0,0,0,0,35#
8,Nama Peralatan,3,0,7160,930,16,50,0,,1,0,,0,Sinyal,X112,0,18#
9,Nama Peralatan,4,0,7164,860,16,40,0,,1,0,,0,Sinyal,X92,0,18#
10,Nama Peralatan,5,0,7147,789,16,40,0,,1,0,,0,Sinyal,X72,0,18#
11,Kotak/Track,5,0,7218,943,22,10,0,,1,0,,0,,,,,,255,65535,65280,0,0,5197647,0,10,0,0,0,0,0,0,0,35#
12,Kotak/Track,6,0,7187,950,9,32,0,,1,0,,0,,,,,,255,65535,65280,0,0,5197647,0,10,0,0,0,0,0,0,0,35#
13,Kotak/Track,7,0,7218,873,22,10,0,,1,0,,0,,,,,,255,65535,65280,0,0,5197647,0,10,0,0,0,0,0,0,0,35#
14,Kotak/Track,8,0,7187,880,9,32,0,,1,0,,0,,,,,,255,65535,65280,0,0,5197647,0,10,0,0,0,0,0,0,0,35#
15,Kotak/Track,9,0,7201,803,22,10,0,,1,0,,0,,,,,,255,65535,65280,0,0,5197647,0,10,0,0,0,0,0,0,0,35#
16,Kotak/Track,10,0,7170,810,9,32,0,,1,0,,0,,,,,,255,65535,65280,0,0,5197647,0,10,0,0,0,0,0,0,0,35#
17,Kotak/Track,11,0,6738,855,11,15,0,SK-L92-WGE-DO,3,0,,2,SK-L92-WGE-DO,,,,,16777215,65535,14737632,0,0,5197647,0,5,1,4961,0,0,0,0,0,35#
18,Kotak/Track,12,0,6755,855,11,4,0,SK-L92-RGE-DO,1,0,,2,SK-L92-RGE-DO,,,,,255,65535,14737632,0,0,5197647,8421504,10,1,4960,0,0,0,0,0,35#
19,Nama Peralatan,6,0,6728,832,15,45,0,,1,0,,0,Sinyal,L92,0,18#
20,Gambar Bitmap,1,0,6731,850,21,45,0,,0,0,,0,,,,,,,,,,0,sinyal-langsir-180.bmp,0,0,0,0,0,0,0,0,0,35#
21,Kotak/Track,13,0,6738,925,11,15,0,SK-L112-WGE-DO,3,0,,2,SK-L112-WGE-DO,,,,,16777215,65535,14737632,0,0,5197647,0,5,1,4964,0,0,0,0,0,35#
