Revisi:,,,,,,,,,,,
Atribut:,,,,,,,,,,,
Alamat,Variabel,Ket. Lojik nol,Ket. Lojik Satu,Arsip,Arsip Aktif,Alarm,Alarm Aktif,Kelompok,Stasiun,,
882,YK-JL42A-WGE-DO,,,,,,,,YK,24,1
883,YK-JL52A-PBE-DO,,,,,,,,YK,24,2
884,YK-JL52A-RGE-DO,,,,,,,,YK,24,3
885,YK-JL52A-CGE-DO,,,,,,,,YK,24,4
886,YK-JL52A-EGE-DO,,,,,,,,YK,24,5
887,YK-JL52A-CFGE-DO,,,,,,,,YK,24,6
888,YK-JL52A-WGE-DO,,,,,,,,YK,24,7
889,YK-JL62A-PBE-DO,,,,,,,,YK,24,8
890,YK-JL62A-RGE-DO,,,,,,,,YK,24,9
891,YK-JL62A-CGE-DO,,,,,,,,YK,24,10
892,YK-JL62A-EGE-DO,,,,,,,,YK,24,11
893,YK-JL62A-WGE-DO,,,,,,,,YK,24,12
894,YK-JL72A-PBE-DO,,,,,,,,YK,24,13
895,YK-JL72A-RGE-DO,,,,,,,,YK,24,14
896,YK-JL72A-CGE-DO,,,,,,,,YK,24,15
897,YK-JL72A-EGE-DO,,,,,,,,YK,25,0
898,YK-JL72A-WGE-DO,,,,,,,,YK,25,1
899,YK-JL82A-PBE-DO,,,,,,,,YK,25,2
900,YK-JL82A-RGE-DO,,,,,,,,YK,25,3
901,YK-JL82A-CGE-DO,,,,,,,,YK,25,4
902,YK-JL82A-EGE-DO,,,,,,,,YK,25,5
903,YK-JL82A-WGE-DO,,,,,,,,YK,25,6
904,YK-JL92A-PBE-DO,,,,,,,,YK,25,7
905,YK-JL92A-RGE-DO,,,,,,,,YK,25,8
906,YK-JL92A-CGE-DO,,,,,,,,YK,25,9
907,YK-JL92A-EGE-DO,,,,,,,,YK,25,10
908,YK-JL92A-WGE-DO,,,,,,,,YK,25,11
909,YK-L11-PBE-DO,,,,,,,,YK,25,12
910,YK-L11-RGE-DO,,,,,,,,YK,25,13
911,YK-L11-WGE-DO,,,,,,,,YK,25,14
912,YK-L20-PBE-DO,,,,,,,,YK,25,15
913,YK-L20-RGE-DO,,,,,,,,YK,26,0
914,YK-L20-WGE-DO,,,,,,,,YK,26,1
915,YK-L21A-PBE-DO,,,,,,,,YK,26,2
916,YK-L21A-RGE-DO,,,,,,,,YK,26,3
917,YK-L21A-WGE-DO,,,,,,,,YK,26,4
918,YK-L21B-PBE-DO,,,,,,,,YK,26,5
919,YK-L21B-RGE-DO,,,,,,,,YK,26,6
920,YK-L21B-WGE-DO,,,,,,,,YK,26,7
921,YK-L51A-PBE-DO,,,,,,,,YK,26,8
922,YK-L51A-RGE-DO,,,,,,,,YK,26,9
923,YK-L51A-WGE-DO,,,,,,,,YK,26,10
924,YK-L51B-PBE-DO,,,,,,,,YK,26,11
925,YK-L51B-RGE-DO,,,,,,,,YK,26,12
926,YK-L51B-WGE-DO,,,,,,,,YK,26,13
927,YK-L30-PBE-DO,,,,,,,,YK,26,14
928,YK-L30-RGE-DO,,,,,,,,YK,26,15
929,YK-L30-WGE-DO,,,,,,,,YK,27,0
930,YK-L32-PBE-DO,,,,,,,,YK,27,1
931,YK-L32-RGE-DO,,,,,,,,YK,27,2
932,YK-L32-WGE-DO,,,,,,,,YK,27,3
933,YK-L40-PBE-DO,,,,,,,,YK,27,4
934,YK-L40-RGE-DO,,,,,,,,YK,27,5
935,YK-L40-WGE-DO,,,,,,,,YK,27,6
936,YK-L80-PBE-DO,,,,,,,,YK,27,7
937,YK-L80-RGE-DO,,,,,,,,YK,27,8
938,YK-L80-WGE-DO,,,,,,,,YK,27,9
939,YK-L100-PBE-DO,,,,,,,,YK,27,10
940,YK-L100-RGE-DO,,,,,,,,YK,27,11
941,YK-L100-WGE-DO,,,,,,,,YK,27,12
