Revisi:,,,,,,,,,,,
Atribut:,,,,,,,,,,,
Alamat,Variabel,Ket. Lojik nol,Ket. Lojik Satu,Arsip,Arsip Aktif,Alarm,Alarm Aktif,Kelompok,Stasiun,,
1890,YK-L13A-12A-CTRL,Kombinasi Tombol Rute dari L13A ke JL12A tidak Aktif,Kombinasi Tombol Rute dari L13A ke JL12A Aktif,1,1,,,perintah,YK,87,1
1891,YK-L13A-12A-RS,Route Stick dari L13A ke JL12A Bebas,Route Stick dari L13A ke JL12A Terbentuk,1,1,,,rute,YK,87,2
1892,YK-L13A-12A-S-REQ,Permintaan Rute Langsir dari L13A ke JL12A tidak Aktif,Permintaan Rute Langsir dari L13A ke JL12A Aktif,1,1,,,rute,YK,87,3
1893,YK-L13A-22A-CTRL,Kombinasi Tombol Rute dari L13A ke JL22A tidak Aktif,Kombinasi Tombol Rute dari L13A ke JL22A Aktif,1,1,,,perintah,YK,87,4
1894,YK-L13A-22A-RS,Route Stick dari L13A ke JL22A Bebas,Route Stick dari L13A ke JL22A Terbentuk,1,1,,,rute,YK,87,5
1895,YK-L13A-22A-S-REQ,Permintaan Rute Langsir dari L13A ke JL22A tidak Aktif,Permintaan Rute Langsir dari L13A ke JL22A Aktif,1,1,,,rute,YK,87,6
1896,YK-L13A-42A-CTRL,Kombinasi Tombol Rute dari L13A ke JL42A tidak Aktif,Kombinasi Tombol Rute dari L13A ke JL42A Aktif,1,1,,,perintah,YK,87,7
1897,YK-L13A-42A-RS,Route Stick dari L13A ke JL42A Bebas,Route Stick dari L13A ke JL42A Terbentuk,1,1,,,rute,YK,87,8
1898,YK-L13A-42A-S-REQ,Permintaan Rute Langsir dari L13A ke JL42A tidak Aktif,Permintaan Rute Langsir dari L13A ke JL42A Aktif,1,1,,,rute,YK,87,9
1899,YK-L13A-62A-CTRL,Kombinasi Tombol Rute dari L13A ke JL62A tidak Aktif,Kombinasi Tombol Rute dari L13A ke JL62A Aktif,1,1,,,perintah,YK,87,10
1900,YK-L13A-62A-RS,Route Stick dari L13A ke JL62A Bebas,Route Stick dari L13A ke JL62A Terbentuk,1,1,,,rute,YK,87,11
1901,YK-L13A-62A-S-REQ,Permintaan Rute Langsir dari L13A ke JL62A tidak Aktif,Permintaan Rute Langsir dari L13A ke JL62A Aktif,1,1,,,rute,YK,87,12
1902,YK-L13A-82A-CTRL,Kombinasi Tombol Rute dari L13A ke JL82A tidak Aktif,Kombinasi Tombol Rute dari L13A ke JL82A Aktif,1,1,,,perintah,YK,87,13
1903,YK-L13A-82A-RS,Route Stick dari L13A ke JL82A Bebas,Route Stick dari L13A ke JL82A Terbentuk,1,1,,,rute,YK,87,14
1904,YK-L13A-82A-S-REQ,Permintaan Rute Langsir dari L13A ke JL82A tidak Aktif,Permintaan Rute Langsir dari L13A ke JL82A Aktif,1,1,,,rute,YK,87,15
1905,YK-L53A-52A-CTRL,Kombinasi Tombol Rute dari L53A ke JL52A tidak Aktif,Kombinasi Tombol Rute dari L53A ke JL52A Aktif,1,1,,,perintah,YK,88,0
1906,YK-L53A-52A-RS,Route Stick dari L53A ke JL52A Bebas,Route Stick dari L53A ke JL52A Terbentuk,1,1,,,rute,YK,88,1
1907,YK-L53A-52A-S-REQ,Permintaan Rute Langsir dari L53A ke JL52A tidak Aktif,Permintaan Rute Langsir dari L53A ke JL52A Aktif,1,1,,,rute,YK,88,2
1908,YK-L53A-72A-CTRL,Kombinasi Tombol Rute dari L53A ke JL72A tidak Aktif,Kombinasi Tombol Rute dari L53A ke JL72A Aktif,1,1,,,perintah,YK,88,3
1909,YK-L53A-72A-RS,Route Stick dari L53A ke JL72A Bebas,Route Stick dari L53A ke JL72A Terbentuk,1,1,,,rute,YK,88,4
1910,YK-L53A-72A-S-REQ,Permintaan Rute Langsir dari L53A ke JL72A tidak Aktif,Permintaan Rute Langsir dari L53A ke JL72A Aktif,1,1,,,rute,YK,88,5
1911,YK-L53A-92A-CTRL,Kombinasi Tombol Rute dari L53A ke JL92A tidak Aktif,Kombinasi Tombol Rute dari L53A ke JL92A Aktif,1,1,,,perintah,YK,88,6
1912,YK-L53A-92A-RS,Route Stick dari L53A ke JL92A Bebas,Route Stick dari L53A ke JL92A Terbentuk,1,1,,,rute,YK,88,7
1913,YK-L53A-92A-S-REQ,Permintaan Rute Langsir dari L53A ke JL92A tidak Aktif,Permintaan Rute Langsir dari L53A ke JL92A Aktif,1,1,,,rute,YK,88,8
1914,YK-L24-22A-CTRL,Kombinasi Tombol Rute dari L24 ke JL22A tidak Aktif,Kombinasi Tombol Rute dari L24 ke JL22A Aktif,1,1,,,perintah,YK,88,9
1915,YK-L24-22A-RS,Route Stick dari L24 ke JL22A Bebas,Route Stick dari L24 ke JL22A Terbentuk,1,1,,,rute,YK,88,10
1916,YK-L24-22A-S-REQ,Permintaan Rute Langsir dari L24 ke JL22A tidak Aktif,Permintaan Rute Langsir dari L24 ke JL22A Aktif,1,1,,,rute,YK,88,11
1917,YK-L24-42A-CTRL,Kombinasi Tombol Rute dari L24 ke JL42A tidak Aktif,Kombinasi Tombol Rute dari L24 ke JL42A Aktif,1,1,,,perintah,YK,88,12
1918,YK-L24-42A-RS,Route Stick dari L24 ke JL42A Bebas,Route Stick dari L24 ke JL42A Terbentuk,1,1,,,rute,YK,88,13
1919,YK-L24-42A-S-REQ,Permintaan Rute Langsir dari L24 ke JL42A tidak Aktif,Permintaan Rute Langsir dari L24 ke JL42A Aktif,1,1,,,rute,YK,88,14
1920,YK-L24-62A-CTRL,Kombinasi Tombol Rute dari L24 ke JL62A tidak Aktif,Kombinasi Tombol Rute dari L24 ke JL62A Aktif,1,1,,,perintah,YK,88,15
1921,YK-L24-62A-RS,Route Stick dari L24 ke JL62A Bebas,Route Stick dari L24 ke JL62A Terbentuk,1,1,,,rute,YK,89,0
1922,YK-L24-62A-S-REQ,Permintaan Rute Langsir dari L24 ke JL62A tidak Aktif,Permintaan Rute Langsir dari L24 ke JL62A Aktif,1,1,,,rute,YK,89,1
1923,YK-L24-82A-CTRL,Kombinasi Tombol Rute dari L24 ke JL82A tidak Aktif,Kombinasi Tombol Rute dari L24 ke JL82A Aktif,1,1,,,perintah,YK,89,2
1924,YK-L24-82A-RS,Route Stick dari L24 ke JL82A Bebas,Route Stick dari L24 ke JL82A Terbentuk,1,1,,,rute,YK,89,3
1925,YK-L24-82A-S-REQ,Permintaan Rute Langsir dari L24 ke JL82A tidak Aktif,Permintaan Rute Langsir dari L24 ke JL82A Aktif,1,1,,,rute,YK,89,4
1926,YK-L44-42A-CTRL,Kombinasi Tombol Rute dari L44 ke JL42A tidak Aktif,Kombinasi Tombol Rute dari L44 ke JL42A Aktif,1,1,,,perintah,YK,89,5
1927,YK-L44-42A-RS,Route Stick dari L44 ke JL42A Bebas,Route Stick dari L44 ke JL42A Terbentuk,1,1,,,rute,YK,89,6
1928,YK-L44-42A-S-REQ,Permintaan Rute Langsir dari L44 ke JL42A tidak Aktif,Permintaan Rute Langsir dari L44 ke JL42A Aktif,1,1,,,rute,YK,89,7
1929,YK-L44-62A-CTRL,Kombinasi Tombol Rute dari L44 ke JL62A tidak Aktif,Kombinasi Tombol Rute dari L44 ke JL62A Aktif,1,1,,,perintah,YK,89,8
1930,YK-L44-62A-RS,Route Stick dari L44 ke JL62A Bebas,Route Stick dari L44 ke JL62A Terbentuk,1,1,,,rute,YK,89,9
1931,YK-L44-62A-S-REQ,Permintaan Rute Langsir dari L44 ke JL62A tidak Aktif,Permintaan Rute Langsir dari L44 ke JL62A Aktif,1,1,,,rute,YK,89,10
1932,YK-L44-82A-CTRL,Kombinasi Tombol Rute dari L44 ke JL82A tidak Aktif,Kombinasi Tombol Rute dari L44 ke JL82A Aktif,1,1,,,perintah,YK,89,11
1933,YK-L44-82A-RS,Route Stick dari L44 ke JL82A Bebas,Route Stick dari L44 ke JL82A Terbentuk,1,1,,,rute,YK,89,12
1934,YK-L44-82A-S-REQ,Permintaan Rute Langsir dari L44 ke JL82A tidak Aktif,Permintaan Rute Langsir dari L44 ke JL82A Aktif,1,1,,,rute,YK,89,13
1935,YK-L64-62A-CTRL,Kombinasi Tombol Rute dari L64 ke JL62A tidak Aktif,Kombinasi Tombol Rute dari L64 ke JL62A Aktif,1,1,,,perintah,YK,89,14
1936,YK-L64-62A-RS,Route Stick dari L64 ke JL62A Bebas,Route Stick dari L64 ke JL62A Terbentuk,1,1,,,rute,YK,89,15
1937,YK-L64-62A-S-REQ,Permintaan Rute Langsir dari L64 ke JL62A tidak Aktif,Permintaan Rute Langsir dari L64 ke JL62A Aktif,1,1,,,rute,YK,90,0
1938,YK-L64-82A-CTRL,Kombinasi Tombol Rute dari L64 ke JL82A tidak Aktif,Kombinasi Tombol Rute dari L64 ke JL82A Aktif,1,1,,,perintah,YK,90,1
1939,YK-L64-82A-RS,Route Stick dari L64 ke JL82A Bebas,Route Stick dari L64 ke JL82A Terbentuk,1,1,,,rute,YK,90,2
1940,YK-L64-82A-S-REQ,Permintaan Rute Langsir dari L64 ke JL82A tidak Aktif,Permintaan Rute Langsir dari L64 ke JL82A Aktif,1,1,,,rute,YK,90,3
1941,YK-L84-82A-CTRL,Kombinasi Tombol Rute dari L84 ke JL82A tidak Aktif,Kombinasi Tombol Rute dari L84 ke JL82A Aktif,1,1,,,perintah,YK,90,4
1942,YK-L84-82A-RS,Route Stick dari L84 ke JL82A Bebas,Route Stick dari L84 ke JL82A Terbentuk,1,1,,,rute,YK,90,5
1943,YK-L84-82A-S-REQ,Permintaan Rute Langsir dari L84 ke JL82A tidak Aktif,Permintaan Rute Langsir dari L84 ke JL82A Aktif,1,1,,,rute,YK,90,6
1944,YK-JL12A-A20-CTRL,Kombinasi Tombol Rute dari JL12A ke A20 tidak Aktif,Kombinasi Tombol Rute dari JL12A ke A20 Aktif,1,1,,,perintah,YK,90,7
1945,YK-JL12A-A20-RS,Route Stick dari JL12A ke A20 Bebas,Route Stick dari JL12A ke A20 Terbentuk,1,1,,,rute,YK,90,8
1946,YK-JL12A-A20-E-REQ,Permintaan Rute Darurat dari JL12A ke A20 tidak Aktif,Permintaan Rute Darurat dari JL12A ke A20 Aktif,1,1,,,rute,YK,90,9
1947,YK-JL12A-A20-E-RST-TE,,Rute Darurat dari JL12A ke A20 Timeout,1,1,,,rute,YK,90,10
1948,YK-JL12A-A20-T-REQ,Permintaan Rute Normal dari JL12A ke A20 tidak Aktif,Permintaan Rute Normal dari JL12A ke A20 Aktif,1,1,,,rute,YK,90,11
1949,YK-JL22A-A20-CTRL,Kombinasi Tombol Rute dari JL22A ke A20 tidak Aktif,Kombinasi Tombol Rute dari JL22A ke A20 Aktif,1,1,,,perintah,YK,90,12
1950,YK-JL22A-A20-RS,Route Stick dari JL22A ke A20 Bebas,Route Stick dari JL22A ke A20 Terbentuk,1,1,,,rute,YK,90,13
1951,YK-JL22A-A20-E-REQ,Permintaan Rute Darurat dari JL22A ke A20 tidak Aktif,Permintaan Rute Darurat dari JL22A ke A20 Aktif,1,1,,,rute,YK,90,14
1952,YK-JL22A-A20-E-RST-TE,,Rute Darurat dari JL22A ke A20 Timeout,1,1,,,rute,YK,90,15
1953,YK-JL22A-A20-T-REQ,Permintaan Rute Normal dari JL22A ke A20 tidak Aktif,Permintaan Rute Normal dari JL22A ke A20 Aktif,1,1,,,rute,YK,91,0
1954,YK-JL42A-A20-CTRL,Kombinasi Tombol Rute dari JL42A ke A20 tidak Aktif,Kombinasi Tombol Rute dari JL42A ke A20 Aktif,1,1,,,perintah,YK,91,1
1955,YK-JL42A-A20-RS,Route Stick dari JL42A ke A20 Bebas,Route Stick dari JL42A ke A20 Terbentuk,1,1,,,rute,YK,91,2
1956,YK-JL42A-A20-E-REQ,Permintaan Rute Darurat dari JL42A ke A20 tidak Aktif,Permintaan Rute Darurat dari JL42A ke A20 Aktif,1,1,,,rute,YK,91,3
1957,YK-JL42A-A20-E-RST-TE,,Rute Darurat dari JL42A ke A20 Timeout,1,1,,,rute,YK,91,4
1958,YK-JL42A-A20-T-REQ,Permintaan Rute Normal dari JL42A ke A20 tidak Aktif,Permintaan Rute Normal dari JL42A ke A20 Aktif,1,1,,,rute,YK,91,5
1959,YK-JL52A-A20-CTRL,Kombinasi Tombol Rute dari JL52A ke A20 tidak Aktif,Kombinasi Tombol Rute dari JL52A ke A20 Aktif,1,1,,,perintah,YK,91,6
1960,YK-JL52A-A20-RS,Route Stick dari JL52A ke A20 Bebas,Route Stick dari JL52A ke A20 Terbentuk,1,1,,,rute,YK,91,7
1961,YK-JL52A-A20-E-REQ,Permintaan Rute Darurat dari JL52A ke A20 tidak Aktif,Permintaan Rute Darurat dari JL52A ke A20 Aktif,1,1,,,rute,YK,91,8
1962,YK-JL52A-A20-E-RST-TE,,Rute Darurat dari JL52A ke A20 Timeout,1,1,,,rute,YK,91,9
1963,YK-JL52A-A20-T-REQ,Permintaan Rute Normal dari JL52A ke A20 tidak Aktif,Permintaan Rute Normal dari JL52A ke A20 Aktif,1,1,,,rute,YK,91,10
1964,YK-JL62A-A20-CTRL,Kombinasi Tombol Rute dari JL62A ke A20 tidak Aktif,Kombinasi Tombol Rute dari JL62A ke A20 Aktif,1,1,,,perintah,YK,91,11
1965,YK-JL62A-A20-RS,Route Stick dari JL62A ke A20 Bebas,Route Stick dari JL62A ke A20 Terbentuk,1,1,,,rute,YK,91,12
1966,YK-JL62A-A20-E-REQ,Permintaan Rute Darurat dari JL62A ke A20 tidak Aktif,Permintaan Rute Darurat dari JL62A ke A20 Aktif,1,1,,,rute,YK,91,13
1967,YK-JL62A-A20-E-RST-TE,,Rute Darurat dari JL62A ke A20 Timeout,1,1,,,rute,YK,91,14
1968,YK-JL62A-A20-T-REQ,Permintaan Rute Normal dari JL62A ke A20 tidak Aktif,Permintaan Rute Normal dari JL62A ke A20 Aktif,1,1,,,rute,YK,91,15
1969,YK-JL72A-A20-CTRL,Kombinasi Tombol Rute dari JL72A ke A20 tidak Aktif,Kombinasi Tombol Rute dari JL72A ke A20 Aktif,1,1,,,perintah,YK,92,0
1970,YK-JL72A-A20-RS,Route Stick dari JL72A ke A20 Bebas,Route Stick dari JL72A ke A20 Terbentuk,1,1,,,rute,YK,92,1
1971,YK-JL72A-A20-E-REQ,Permintaan Rute Darurat dari JL72A ke A20 tidak Aktif,Permintaan Rute Darurat dari JL72A ke A20 Aktif,1,1,,,rute,YK,92,2
1972,YK-JL72A-A20-E-RST-TE,,Rute Darurat dari JL72A ke A20 Timeout,1,1,,,rute,YK,92,3
1973,YK-JL72A-A20-T-REQ,Permintaan Rute Normal dari JL72A ke A20 tidak Aktif,Permintaan Rute Normal dari JL72A ke A20 Aktif,1,1,,,rute,YK,92,4
1974,YK-JL82A-A20-CTRL,Kombinasi Tombol Rute dari JL82A ke A20 tidak Aktif,Kombinasi Tombol Rute dari JL82A ke A20 Aktif,1,1,,,perintah,YK,92,5
1975,YK-JL82A-A20-RS,Route Stick dari JL82A ke A20 Bebas,Route Stick dari JL82A ke A20 Terbentuk,1,1,,,rute,YK,92,6
1976,YK-JL82A-A20-E-REQ,Permintaan Rute Darurat dari JL82A ke A20 tidak Aktif,Permintaan Rute Darurat dari JL82A ke A20 Aktif,1,1,,,rute,YK,92,7
1977,YK-JL82A-A20-E-RST-TE,,Rute Darurat dari JL82A ke A20 Timeout,1,1,,,rute,YK,92,8
1978,YK-JL82A-A20-T-REQ,Permintaan Rute Normal dari JL82A ke A20 tidak Aktif,Permintaan Rute Normal dari JL82A ke A20 Aktif,1,1,,,rute,YK,92,9
1979,YK-JL92A-A20-CTRL,Kombinasi Tombol Rute dari JL92A ke A20 tidak Aktif,Kombinasi Tombol Rute dari JL92A ke A20 Aktif,1,1,,,perintah,YK,92,10
1980,YK-JL92A-A20-RS,Route Stick dari JL92A ke A20 Bebas,Route Stick dari JL92A ke A20 Terbentuk,1,1,,,rute,YK,92,11
1981,YK-JL92A-A20-E-REQ,Permintaan Rute Darurat dari JL92A ke A20 tidak Aktif,Permintaan Rute Darurat dari JL92A ke A20 Aktif,1,1,,,rute,YK,92,12
1982,YK-JL92A-A20-E-RST-TE,,Rute Darurat dari JL92A ke A20 Timeout,1,1,,,rute,YK,92,13
1983,YK-JL92A-A20-T-REQ,Permintaan Rute Normal dari JL92A ke A20 tidak Aktif,Permintaan Rute Normal dari JL92A ke A20 Aktif,1,1,,,rute,YK,92,14
1984,YK-JL12A-A10-CF-CTRL,Kombinasi Tombol Rute Contra Flow dari JL12A ke A10 tidak Aktif,Kombinasi Tombol Rute Contra Flow dari JL12A ke A10 Aktif,1,1,,,perintah,YK,92,15
1985,YK-JL12A-A10-CF-RS,Route Stick dari JL12A ke A10 Bebas,Route Stick dari JL12A ke A10 Terbentuk,1,1,,,rute,YK,93,0
1986,YK-JL12A-A10-CF-E-REQ,Permintaan Rute Contraflow dari JL12A ke A10 tidak Aktif,Permintaan Rute Contraflow dari JL12A ke A10 Aktif,1,1,,,rute,YK,93,1
1987,YK-JL12A-A10-CF-E-RST-TE,,Rute Contraflow dari JL12A ke A10 Timeout,1,1,,,rute,YK,93,2
1988,YK-JL22A-A10-CF-CTRL,Kombinasi Tombol Rute Contra Flow dari JL22A ke A10 tidak Aktif,Kombinasi Tombol Rute Contra Flow dari JL22A ke A10 Aktif,1,1,,,perintah,YK,93,3
1989,YK-JL22A-A10-CF-RS,Route Stick dari JL22A ke A10 Bebas,Route Stick dari JL22A ke A10 Terbentuk,1,1,,,rute,YK,93,4
1990,YK-JL22A-A10-CF-E-REQ,Permintaan Rute Contraflow dari JL22A ke A10 tidak Aktif,Permintaan Rute Contraflow dari JL22A ke A10 Aktif,1,1,,,rute,YK,93,5
1991,YK-JL22A-A10-CF-E-RST-TE,,Rute Contraflow dari JL22A ke A10 Timeout,1,1,,,rute,YK,93,6
1992,YK-JL52A-A10-CF-CTRL,Kombinasi Tombol Rute Contra Flow dari JL52A ke A10 tidak Aktif,Kombinasi Tombol Rute Contra Flow dari JL52A ke A10 Aktif,1,1,,,perintah,YK,93,7
1993,YK-JL52A-A10-CF-RS,Route Stick dari JL52A ke A10 Bebas,Route Stick dari JL52A ke A10 Terbentuk,1,1,,,rute,YK,93,8
1994,YK-JL52A-A10-CF-E-REQ,Permintaan Rute Contraflow dari JL52A ke A10 tidak Aktif,Permintaan Rute Contraflow dari JL52A ke A10 Aktif,1,1,,,rute,YK,93,9
1995,YK-JL52A-A10-CF-E-RST-TE,,Rute Contraflow dari JL52A ke A10 Timeout,1,1,,,rute,YK,93,10
1996,YK-JL12A-X20-CTRL,Kombinasi Tombol Rute dari JL12A ke X20 tidak Aktif,Kombinasi Tombol Rute dari JL12A ke X20 Aktif,1,1,,,perintah,YK,93,11
1997,YK-JL12A-X20-RS,Route Stick dari JL12A ke X20 Bebas,Route Stick dari JL12A ke X20 Terbentuk,1,1,,,rute,YK,93,12
1998,YK-JL12A-X20-S-REQ,Permintaan Rute Langsir dari JL12A ke X20 tidak Aktif,Permintaan Rute Langsir dari JL12A ke X20 Aktif,1,1,,,rute,YK,93,13
1999,YK-JL22A-21A-CTRL,Kombinasi Tombol Rute dari JL22A ke L21A tidak Aktif,Kombinasi Tombol Rute dari JL22A ke L21A Aktif,1,1,,,perintah,YK,93,14
2000,YK-JL22A-21A-RS,Route Stick dari JL22A ke L21A Bebas,Route Stick dari JL22A ke L21A Terbentuk,1,1,,,rute,YK,93,15
2001,YK-JL22A-21A-S-REQ,Permintaan Rute Langsir dari JL22A ke L21A tidak Aktif,Permintaan Rute Langsir dari JL22A ke L21A Aktif,1,1,,,rute,YK,94,0
2002,YK-JL42A-21A-CTRL,Kombinasi Tombol Rute dari JL42A ke L21A tidak Aktif,Kombinasi Tombol Rute dari JL42A ke L21A Aktif,1,1,,,perintah,YK,94,1
2003,YK-JL42A-21A-RS,Route Stick dari JL42A ke L21A Bebas,Route Stick dari JL42A ke L21A Terbentuk,1,1,,,rute,YK,94,2
2004,YK-JL42A-21A-S-REQ,Permintaan Rute Langsir dari JL42A ke L21A tidak Aktif,Permintaan Rute Langsir dari JL42A ke L21A Aktif,1,1,,,rute,YK,94,3
2005,YK-JL62A-21A-CTRL,Kombinasi Tombol Rute dari JL62A ke L21A tidak Aktif,Kombinasi Tombol Rute dari JL62A ke L21A Aktif,1,1,,,perintah,YK,94,4
2006,YK-JL62A-21A-RS,Route Stick dari JL62A ke L21A Bebas,Route Stick dari JL62A ke L21A Terbentuk,1,1,,,rute,YK,94,5
2007,YK-JL62A-21A-S-REQ,Permintaan Rute Langsir dari JL62A ke L21A tidak Aktif,Permintaan Rute Langsir dari JL62A ke L21A Aktif,1,1,,,rute,YK,94,6
2008,YK-JL82A-21A-CTRL,Kombinasi Tombol Rute dari JL82A ke L21A tidak Aktif,Kombinasi Tombol Rute dari JL82A ke L21A Aktif,1,1,,,perintah,YK,94,7
2009,YK-JL82A-21A-RS,Route Stick dari JL82A ke L21A Bebas,Route Stick dari JL82A ke L21A Terbentuk,1,1,,,rute,YK,94,8
2010,YK-JL82A-21A-S-REQ,Permintaan Rute Langsir dari JL82A ke L21A tidak Aktif,Permintaan Rute Langsir dari JL82A ke L21A Aktif,1,1,,,rute,YK,94,9
2011,YK-JL52A-51A-CTRL,Kombinasi Tombol Rute dari JL52A ke L51A tidak Aktif,Kombinasi Tombol Rute dari JL52A ke L51A Aktif,1,1,,,perintah,YK,94,10
2012,YK-JL52A-51A-RS,Route Stick dari JL52A ke L51A Bebas,Route Stick dari JL52A ke L51A Terbentuk,1,1,,,rute,YK,94,11
2013,YK-JL52A-51A-S-REQ,Permintaan Rute Langsir dari JL52A ke L51A tidak Aktif,Permintaan Rute Langsir dari JL52A ke L51A Aktif,1,1,,,rute,YK,94,12
2014,YK-JL72A-51A-CTRL,Kombinasi Tombol Rute dari JL72A ke L51A tidak Aktif,Kombinasi Tombol Rute dari JL72A ke L51A Aktif,1,1,,,perintah,YK,94,13
2015,YK-JL72A-51A-RS,Route Stick dari JL72A ke L51A Bebas,Route Stick dari JL72A ke L51A Terbentuk,1,1,,,rute,YK,94,14
2016,YK-JL72A-51A-S-REQ,Permintaan Rute Langsir dari JL72A ke L51A tidak Aktif,Permintaan Rute Langsir dari JL72A ke L51A Aktif,1,1,,,rute,YK,94,15
2017,YK-JL92A-51A-CTRL,Kombinasi Tombol Rute dari JL92A ke L51A tidak Aktif,Kombinasi Tombol Rute dari JL92A ke L51A Aktif,1,1,,,perintah,YK,95,0
2018,YK-JL92A-51A-RS,Route Stick dari JL92A ke L51A Bebas,Route Stick dari JL92A ke L51A Terbentuk,1,1,,,rute,YK,95,1
2019,YK-JL92A-51A-S-REQ,Permintaan Rute Langsir dari JL92A ke L51A tidak Aktif,Permintaan Rute Langsir dari JL92A ke L51A Aktif,1,1,,,rute,YK,95,2
2020,YK-L21A-X20-CTRL,Kombinasi Tombol Rute dari L21A ke X20 tidak Aktif,Kombinasi Tombol Rute dari L21A ke X20 Aktif,1,1,,,perintah,YK,95,3
2021,YK-L21A-X20-RS,Route Stick dari L21A ke X20 Bebas,Route Stick dari L21A ke X20 Terbentuk,1,1,,,rute,YK,95,4
2022,YK-L21A-X20-S-REQ,Permintaan Rute Langsir dari L21A ke X20 tidak Aktif,Permintaan Rute Langsir dari L21A ke X20 Aktif,1,1,,,rute,YK,95,5
2023,YK-L51A-X20-CTRL,Kombinasi Tombol Rute dari L51A ke X20 tidak Aktif,Kombinasi Tombol Rute dari L51A ke X20 Aktif,1,1,,,perintah,YK,95,6
2024,YK-L51A-X20-RS,Route Stick dari L51A ke X20 Bebas,Route Stick dari L51A ke X20 Terbentuk,1,1,,,rute,YK,95,7
2025,YK-L51A-X20-S-REQ,Permintaan Rute Langsir dari L51A ke X20 tidak Aktif,Permintaan Rute Langsir dari L51A ke X20 Aktif,1,1,,,rute,YK,95,8
2026,YK-JL42A-X40-CTRL,Kombinasi Tombol Rute dari JL42A ke X40 tidak Aktif,Kombinasi Tombol Rute dari JL42A ke X40 Aktif,1,1,,,perintah,YK,95,9
2027,YK-JL42A-X40-RS,Route Stick dari JL42A ke X40 Bebas,Route Stick dari JL42A ke X40 Terbentuk,1,1,,,rute,YK,95,10
2028,YK-JL42A-X40-S-REQ,Permintaan Rute Langsir dari JL42A ke X40 tidak Aktif,Permintaan Rute Langsir dari JL42A ke X40 Aktif,1,1,,,rute,YK,95,11
2029,YK-JL62A-X40-CTRL,Kombinasi Tombol Rute dari JL62A ke X40 tidak Aktif,Kombinasi Tombol Rute dari JL62A ke X40 Aktif,1,1,,,perintah,YK,95,12
2030,YK-JL62A-X40-RS,Route Stick dari JL62A ke X40 Bebas,Route Stick dari JL62A ke X40 Terbentuk,1,1,,,rute,YK,95,13
2031,YK-JL62A-X40-S-REQ,Permintaan Rute Langsir dari JL62A ke X40 tidak Aktif,Permintaan Rute Langsir dari JL62A ke X40 Aktif,1,1,,,rute,YK,95,14
2032,YK-JL82A-X40-CTRL,Kombinasi Tombol Rute dari JL82A ke X40 tidak Aktif,Kombinasi Tombol Rute dari JL82A ke X40 Aktif,1,1,,,perintah,YK,95,15
2033,YK-JL82A-X40-RS,Route Stick dari JL82A ke X40 Bebas,Route Stick dari JL82A ke X40 Terbentuk,1,1,,,rute,YK,96,0
2034,YK-JL82A-X40-S-REQ,Permintaan Rute Langsir dari JL82A ke X40 tidak Aktif,Permintaan Rute Langsir dari JL82A ke X40 Aktif,1,1,,,rute,YK,96,1
2035,YK-JL82A-X80-CTRL,Kombinasi Tombol Rute dari JL82A ke X80 tidak Aktif,Kombinasi Tombol Rute dari JL82A ke X80 Aktif,1,1,,,perintah,YK,96,2
2036,YK-JL82A-X80-RS,Route Stick dari JL82A ke X80 Bebas,Route Stick dari JL82A ke X80 Terbentuk,1,1,,,rute,YK,96,3
2037,YK-JL82A-X80-S-REQ,Permintaan Rute Langsir dari JL82A ke X80 tidak Aktif,Permintaan Rute Langsir dari JL82A ke X80 Aktif,1,1,,,rute,YK,96,4
2038,YK-JL82A-X100-CTRL,Kombinasi Tombol Rute dari JL82A ke X100 tidak Aktif,Kombinasi Tombol Rute dari JL82A ke X100 Aktif,1,1,,,perintah,YK,96,5
2039,YK-JL82A-X100-RS,Route Stick dari JL82A ke X100 Bebas,Route Stick dari JL82A ke X100 Terbentuk,1,1,,,rute,YK,96,6
2040,YK-JL82A-X100-S-REQ,Permintaan Rute Langsir dari JL82A ke X100 tidak Aktif,Permintaan Rute Langsir dari JL82A ke X100 Aktif,1,1,,,rute,YK,96,7
2041,YK-L102-X100-CTRL,Kombinasi Tombol Rute dari L102 ke X100 tidak Aktif,Kombinasi Tombol Rute dari L102 ke X100 Aktif,1,1,,,perintah,YK,96,8
2042,YK-L102-X100-RS,Route Stick dari L102 ke X100 Bebas,Route Stick dari L102 ke X100 Terbentuk,1,1,,,rute,YK,96,9
2043,YK-L102-X100-S-REQ,Permintaan Rute Langsir dari L102 ke X100 tidak Aktif,Permintaan Rute Langsir dari L102 ke X100 Aktif,1,1,,,rute,YK,96,10
2044,YK-L32-X30-CTRL,Kombinasi Tombol Rute dari L32 ke X30 tidak Aktif,Kombinasi Tombol Rute dari L32 ke X30 Aktif,1,1,,,perintah,YK,96,11
2045,YK-L32-X30-RS,Route Stick dari L32 ke X30 Bebas,Route Stick dari L32 ke X30 Terbentuk,1,1,,,rute,YK,96,12
2046,YK-L32-X30-S-REQ,Permintaan Rute Langsir dari L32 ke X30 tidak Aktif,Permintaan Rute Langsir dari L32 ke X30 Aktif,1,1,,,rute,YK,96,13
2047,YK-L32-X20-CTRL,Kombinasi Tombol Rute dari L32 ke X20 tidak Aktif,Kombinasi Tombol Rute dari L32 ke X20 Aktif,1,1,,,perintah,YK,96,14
